name,genotype1,genotype2,genotype3,genotype4,description,image,species,genotype1Type,genotype2Type,dominants,recessives
Bull1,A,a,B,b,big bull,bull,bull,x,x,2,1
Bull1,A,A,B,b,big bull,bull,bull,x,x,3,1
Bull1,a,A,B,b,big bull,bull,bull,x,x,2,2
Bull1,A,A,B,B,big bull,bull,bull,x,x,4,0
Bull1,A,A,b,B,big bull,bull,bull,x,x,3,1
Bull1,A,A,b,b,big bull,bull,bull,x,x,2,2
Bull1,a,a,B,B,big bull,bull,bull,x,x,2,2
Bull1,a,A,b,b,big bull,bull,bull,x,x,1,3
Bull1,A,a,b,b,big bull,bull,bull,x,x,1,3
Bull1,A,a,b,b,big bull,bull,bull,x,x,1,3
Bull1,a,a,b,b,big bull,bull,bull,x,x,0,4
Bull1,A,a,B,b,big bull,bull,bull,x,x,2,2
Bull1,a,A,B,B,big bull,bull,bull,x,x,3,1
Bull1,A,a,B,B,big bull,bull,bull,x,x,3,1
Bull1,a,a,B,b,big bull,bull,bull,x,x,1,3
